Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,3,Drew Devine,TOP,"Ball, Ball, Called Strike, Ball, 3 Drew Devine advances to 1st (walk)",3,1,,,
2,16,Zane Zurbrugg,TOP,"Ball, Called Strike, Foul, Ball, 16 Zane Zurbruggputout (L4 Dp) for out number 1, 3 Drew Devine putout (4 DP) for out number 2",2,2,,1,
3,11,Connor Panas,TOP,"Foul, 11 Connor Panas advances to 2nd (double)",0,1,1,,
4,26,Jason Rogers,TOP,"Ball, Ball, Called Strike, Ball, 26 Jason Rogers advances to 1st (walk)",3,1,,,
5,25,Luke Roskam,TOP,"Called Strike, 25 Luke Roskam advances to 1st (single), 26 Jason Rogers advances to 2nd (25), 11 Connor Panas advances to 3rd (25), 11 Connor Panas putout (9-2) for out number 3",0,1,1,1,
6,4,Aaron Whitefield,BOTTOM,"Called Strike, Ball, Foul, Foul, Ball, Foul, 4 Aaron Whitefield putout (strike out swinging) for outnumber 1",2,2,,,1
7,3,Jordan Barth,BOTTOM,"Called Strike, 3 Jordan Barth putout (fly out to left field) for out number 2",0,1,,,1
8,11,Jabari Henry,BOTTOM,"Ball, 11 Jabari Henry putout (L3) for out number 3",1,0,,,1
9,5,Nate Samson,TOP,"Ball, Called Strike, 5 Nate Samson putout (fly outto the catcher) for out number 1",1,1,,1,
10,10,Aaron Takacs,TOP,10 Aaron Takacs putout (1-3) for out number 2,0,0,,1,
11,7,Nick Anderson,TOP,"Ball, Ball, Called Strike, Foul, 7 Nick Anderson putout (strike out) for out number 3",2,2,,1,
12,20,Mike Hart,BOTTOM,"Ball, Called Strike, Ball, Called Strike, 20 MikeHart putout (strike out swinging) for out number 1",2,2,,,1
13,21,Darnell Sweeney,BOTTOM,"Ball, 21 Darnell Sweeney putout (5-3) for out number 2",1,0,,,1
14,5,Trevor Achenbach,BOTTOM,"Called Strike, Called Strike, Foul, 5 Trevor Achenbach putout (strike out swinging) for out number 3",0,2,,,1
15,24,Luis Roman,TOP,"Ball, Ball, Called Strike, Foul, 24 Luis Roman putout (strike out swinging) for out number 1",2,2,,1,
16,3,Drew Devine,TOP,"Ball, Ball, 3 Drew Devine advances to 1st (single)",2,0,1,,
17,16,Zane Zurbrugg,TOP,"Ball, 16 Zane Zurbrugg advances to 1st (single), 3Drew Devine advances to 2nd (16)",1,0,1,,
18,11,Connor Panas,TOP,"Ball, 3 Drew Devine Scores Earned (11), 16 Zane Zurbrugg Scores Earned (11), 11 Connor Panas ScoresEarned (home run)",1,0,1,,
19,26,Jason Rogers,TOP,"Ball, 26 Jason Rogers advances to 1st (hit by pitch)",1,0,,,
20,25,Luke Roskam,TOP,"Ball, Ball, Foul, Swinging Strike, Foul, 25 Luke Roskam putout (fly out to center field) for out number 2",2,2,,1,
21,5,Nate Samson,TOP,5 Nate Samson putout (fly out to the first baseman) for out number 3,0,0,,1,
22,16,Hunter Clanin,BOTTOM,"Swinging Strike, Swinging Strike, Ball, Ball, Foul, Foul, 16 Hunter Clanin Scores Earned (home run)Defensive Substitution   21 Marshall Awtry subs for Luke Roskam at Catcher.",2,2,1,,
23,35,Shamoy Christopher,BOTTOM,35 Shamoy Christopher advances to 1st (single),0,0,1,,
24,0,Osvaldo Martinez,BOTTOM,"35 Shamoy Christopher advances to 2nd (0), 0 Osvaldo Martinez putout (1-3) for out number 1",0,0,,,1
25,4,Aaron Whitefield,BOTTOM,4 Aaron Whitefield putout (fly out to center field) for out number 2,0,0,,,1
26,3,Jordan Barth,BOTTOM,"3 Jordan Barth advances to 1st (single), 35 ShamoyChristopher advances to 3rd (3)",0,0,1,,
27,11,Jabari Henry,BOTTOM,"Foul, Foul, Ball, Ball, Foul, Ball, 11 Jabari Henry putout (fly out to the second baseman) for out number 3",3,2,,,1
28,10,Aaron Takacs,TOP,"Called Strike, 10 Aaron Takacs Scores Earned (homerun)",0,1,,,
29,7,Nick Anderson,TOP,"Ball, Ball, 7 Nick Anderson putout (5-3) for out number 1",2,0,,1,
30,24,Luis Roman,TOP,"Swinging Strike, Ball, Foul, Ball, Ball, 24 Luis Roman putout (4-3) for out number 2",3,2,,1,
31,3,Drew Devine,TOP,"Ball, Ball, Called Strike, Ball, 3 Drew Devine advances to 1st (walk)",3,1,,,
32,16,Zane Zurbrugg,TOP,"Called Strike, 16 Zane Zurbrugg putout (5) for outnumber 3",0,1,,1,
33,20,Mike Hart,BOTTOM,"Swinging Strike, Ball, Swinging Strike, Foul, Ball, 20 Mike Hart advances to 1st (single)",2,2,1,,
34,21,Darnell Sweeney,BOTTOM,"Foul, Called Strike, 21 Darnell Sweeney putout (4)for out number 1",0,2,,,1
35,5,Trevor Achenbach,BOTTOM,"Ball, Ball, Swinging Strike, Called Strike, Ball,Foul, Foul, Foul, Foul, 20 Mike Hart putout (6-4)for out number 2, 5 Trevor Achenbach putout (6-4-3DP) for out number 3",3,2,,,1
36,11,Connor Panas,TOP,"Foul, Foul, 11 Connor Panas putout (strike out swinging) for out number 1",0,2,,1,
37,26,Jason Rogers,TOP,"Ball, Called Strike, 26 Jason Rogers putout (fly out to center field) for out number 2",1,1,,1,
38,21,Marshall Awtry,TOP,"Ball, Swinging Strike, Foul, 21 Marshall Awtry putout (1-3) for out number 3",1,2,,1,
39,16,Hunter Clanin,BOTTOM,"Ball, Called Strike, Foul, 16 Hunter Clanin putout(fly out to center field) for out number 1",1,2,,,1
40,35,Shamoy Christopher,BOTTOM,"Ball, Ball, Swinging Strike, Swinging Strike, Ball, 35 Shamoy Christopher putout (5-3) for out number 2",3,2,,,1
41,0,Osvaldo Martinez,BOTTOM,"Called Strike, Called Strike, Ball, 0 Osvaldo Martinez putout (5) for out number 3",1,2,,,1
42,5,Nate Samson,TOP,"Ball, Ball, Called Strike, Ball, 5 Nate Samson advances to 1st (walk)",3,1,,,
43,10,Aaron Takacs,TOP,"Ball, 10 Aaron Takacs advances to 1st (single), 5Nate Samson advances to 3rd (10)",1,0,1,,
44,7,Nick Anderson,TOP,"Ball, 7 Nick Anderson advances to 1st (single), 10Aaron Takacs advances to 2nd (7), 5 Nate Samson Scores Earned (7)",1,0,1,,
45,24,Luis Roman,TOP,"7 Nick Anderson advances to 2nd (24), 10 Aaron Takacs advances to 3rd (24), 24 Luis Roman putout (1-3 SH) for out number 1",0,0,,1,
46,3,Drew Devine,TOP,"Ball, Called Strike, Foul, Ball, Foul, Foul, Foul,Ball, 3 Drew Devine putout (fly out to right field) for out number 2",3,2,,1,
47,16,Zane Zurbrugg,TOP,"16 Zane Zurbrugg Scores Earned (home run), 10 Aaron Takacs Scores Earned (16), 7 Nick Anderson Scores Earned (16)Pitching Substitution    26 Angel Lebron subs for Akeem Bostick Pitcher.",0,0,1,,
48,11,Connor Panas,TOP,"Ball, Ball, Foul, Foul, Foul, Foul, 11 Connor Panas advances to 1st (single)",2,2,1,,
49,26,Jason Rogers,TOP,"Called Strike, Ball, Ball, Foul, Ball, 26 Jason Rogers advances to 1st (walk), 11 Connor Panas advances to 2nd (26)",3,2,,,
50,21,Marshall Awtry,TOP,"Ball, 21 Marshall Awtry advances to 1st (fielder'schoice), 26 Jason Rogers putout (6-4) for out number 3",1,0,,1,
51,4,Aaron Whitefield,BOTTOM,"Ball, Called Strike, Ball, Ball, 4 Aaron Whitefield advances to 1st (walk)",3,1,,,
52,3,Jordan Barth,BOTTOM,"Ball, 3 Jordan Barth advances to 1st (single), 4 Aaron Whitefield advances to 2nd (3)",1,0,1,,
53,11,Jabari Henry,BOTTOM,"4 Aaron Whitefield advances to 3rd (11), 11 JabariHenry putout (fly out to left field) for out number 1",0,0,,,1
54,20,Mike Hart,BOTTOM,"Ball, 4 Aaron Whitefield Scores Earned (20), 3 Jordan Barth Scores Earned (20), 20 Mike Hart ScoresEarned (home run)",1,0,1,,
55,21,Darnell Sweeney,BOTTOM,"Called Strike, Ball, Ball, Foul, 21 Darnell Sweeney putout (strike out swinging) for out number 2Pitching Substitution    9 Devin Conn subs for David Holmberg Pitcher.",2,2,,,1
