Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,19,Brynn Martinez,TOP,"Ball, Ball, Foul, Ball, 19 Brynn Martinez putout (fly out to left field) for out number 1",3,1,,1,,Neil Lang,
2,1,Andy Armstrong,TOP,"Ball, Called Strike, Ball, 1 Andy Armstrong putout(4-3) for out number 2",2,1,,1,,Neil Lang,
3,13,Max Murphy,TOP,"Foul, Ball, Ball, Swinging Strike, Ball, Foul, Foul, 13 Max Murphy putout (strike out swinging) forout number 3",3,2,,1,,Neil Lang,
4,21,Darnell Sweeney,BOTTOM,"Ball, Foul, Called Strike, Foul, Ball, 21 DarnellSweeney putout (strike out swinging) for out number 1",2,2,,,1,,L Ramirez
5,1,Wyatt Ulrich,BOTTOM,"Called Strike, Ball, Called Strike, 1 Wyatt Ulrichputout (5-3) for out number 2",1,2,,,1,,L Ramirez
6,20,Mike Hart,BOTTOM,"Ball, Foul, Called Strike, Ball, 20 Mike Hart putout (strike out swinging) for out number 3",2,2,,,1,,L Ramirez
7,20,Jacob Bockelie,TOP,"Ball, Ball, Ball, 20 Jacob Bockelie advances to 1st (walk)",3,0,,,,Neil Lang,
8,4,Chris Burgess,TOP,"Called Strike, Ball, Foul, Ball, 4 Chris Burgess putout (strike out) for out number 1",2,2,,1,,Neil Lang,
9,27,Hidekel Gonzalez,TOP,"Ball, 27 Hidekel Gonzalez putout (1) for out number 2",1,0,,1,,Neil Lang,
10,26,Sherman Graves,TOP,"Ball, Called Strike, Foul, Ball, 26 Sherman Gravesputout (strike out swinging) for out number 3",2,2,,1,,Neil Lang,
11,11,Jabari Henry,BOTTOM,"Called Strike, 11 Jabari Henry putout (fly out tocenter field) for out number 1",0,1,,,1,,L Ramirez
12,3,Jordan Barth,BOTTOM,"Ball, Foul, 3 Jordan Barth putout (fly out to right field) for out number 2",1,1,,,1,,L Ramirez
13,5,Trevor Achenbach,BOTTOM,"Ball, Ball, Ball, Called Strike, Swinging Strike,5 Trevor Achenbach advances to 1st (walk)",3,2,,,,,L Ramirez
14,16,Hunter Clanin,BOTTOM,"Called Strike, Foul, 16 Hunter Clanin putout (strike out swinging) for out number 3",0,2,,,1,,L Ramirez
15,17,Najee Gaskins,TOP,"Ball, Called Strike, 17 Najee Gaskins advances to1st (hit by pitch)",1,1,,,,Neil Lang,
16,15,Keith Torres,TOP,"Foul, Ball, Foul, Ball, 15 Keith Torres advances to 1st (fielder's choice), 17 Najee Gaskins putout(6-4) for out number 1",2,2,,1,,Neil Lang,
17,19,Brynn Martinez,TOP,"Ball, Ball, Swinging Strike, Ball, 19 Brynn Martinez advances to 1st (walk), 15 Keith Torres advances to 2nd (19)",3,1,,,,Neil Lang,
18,1,Andy Armstrong,TOP,"Ball, Ball, 1 Andy Armstrong advances to 2nd (double), 19 Brynn Martinez Scores Earned (1), 15 KeithTorres Scores Earned (1)",2,0,1,,,Neil Lang,
19,13,Max Murphy,TOP,"Ball, Ball, Ball, Called Strike, Foul, 1 Andy Armstrong advances to 3rd (13), 13 Max Murphy putout (fly out to center field) for out number 2",3,2,,1,,Neil Lang,
20,20,Jacob Bockelie,TOP,"20 Jacob Bockelie advances to 1st (single), 1 AndyArmstrong Scores Earned (20)",0,0,1,,,Neil Lang,
