Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM,Pitcher Top,Pitcher Bottom
1,1,Wyatt Ulrich,TOP,"Ball, Foul, 1 Wyatt Ulrich advances to 1st (singleto left field)",1,1,1,,,C Deason,
2,21,Darnell Sweeney,TOP,21 Darnell Sweeney putout (fly out to right field)for out number 1,0,0,,1,,C Deason,
3,3,Jordan Barth,TOP,"Pickoff attempt at 1st base (pitcher to first baseman), Ball, Foul, 1 Wyatt Ulrich advances to 2nd (3), 3 Jordan Barth putout (4-3) for out number 2",1,1,,1,,C Deason,
4,11,Jabari Henry,TOP,"Foul, Swinging Strike, 11 Jabari Henry putout (P4)for out number 3",0,2,,1,,C Deason,
5,9,Odubel Herrera,BOTTOM,"Called Strike, Foul, Ball, Foul, 9 Odubel Herreraputout (5-3) for out number 1",1,2,,,1,,Chris Hardin
6,6,Peter Maris,BOTTOM,"Called Strike, Ball, Swinging Strike, 6 Peter Maris putout (strike out swinging) for out number 2",1,2,,,1,,Chris Hardin
7,7,Chris Herrmann,BOTTOM,"Ball, Ball, Called Strike, 7 Chris Herrmann putout(fly out to center field) for out number 3",2,1,,,1,,Chris Hardin
8,20,Mike Hart,TOP,"Ball, Ball, 20 Mike Hart putout (fly out to left field) for out number 1",2,0,,1,,C Deason,
9,5,Trevor Achenbach,TOP,"Called Strike, Foul, Ball, Ball, Foul, Ball, Foul,5 Trevor Achenbach advances to 1st (walk)",3,2,,,,C Deason,
10,15,Welington Dotel,TOP,"Called Strike, 15 Welington Dotel advances to 1st(hit by pitch), 5 Trevor Achenbach advances to 2nd(15)",0,1,,,,C Deason,
11,35,Shamoy Christopher,TOP,"35 Shamoy Christopher advances to 1st (fielder's choice), 5 Trevor Achenbach advances to 3rd (35), 15 Welington Dotel putout (9-6) for out number 2",0,0,,1,,C Deason,
12,16,Hunter Clanin,TOP,"Foul, Ball, Ball, Foul, Ball, Foul, 16 Hunter Clanin advances to 1st (walk), 16 Hunter Clanin advances to 2nd (16), 35 Shamoy Christopher advances to3rd (16), 5 Trevor Achenbach Scores Earned (wild pitch)",3,2,,,,C Deason,
13,1,Wyatt Ulrich,TOP,"Ball, 1 Wyatt Ulrich putout (4-3) for out number 3",1,0,,1,,C Deason,
14,17,Gavin Collins,BOTTOM,"Swinging Strike, 17 Gavin Collins putout (P6) forout number 1",0,1,,,1,,Chris Hardin
15,16,Brian OGrady,BOTTOM,"Ball, Ball, Ball, Called Strike, Foul, 16 Brian OGrady putout (fly out to left field) for out number2",3,2,,,1,,Chris Hardin
16,12,Aaron Whitefield,BOTTOM,"Ball, Ball, Foul, 12 Aaron Whitefield advances to1st (single to right field)",2,1,1,,,,Chris Hardin
17,47,Jacob Robson,BOTTOM,"Pickoff attempt at 1st base (pitcher to first baseman), Ball, 12 Aaron Whitefield advances to 2nd (stolen base), Ball, Called Strike, Swinging Strike,Ball, 47 Jacob Robson putout (P6) for out number3",3,2,,,1,,Chris Hardin
18,21,Darnell Sweeney,TOP,"Called Strike, Ball, Ball, Ball, Foul, 21 DarnellSweeney Scores Earned (home run)",3,2,1,,,C Deason,
19,3,Jordan Barth,TOP,"Foul, Ball, 3 Jordan Barth putout (6-3) for out number 1",1,1,,1,,C Deason,
20,11,Jabari Henry,TOP,"Called Strike, Ball, Swinging Strike, 11 Jabari Henry putout (strike out swinging) for out number 2",1,2,,1,,C Deason,
21,20,Mike Hart,TOP,"Called Strike, Ball, Ball, Ball, 20 Mike Hart putout (fly out to right field) for out number 3",3,1,,1,,C Deason,
22,1,Justin Wylie,BOTTOM,"Called Strike, Ball, Ball, Ball, 1 Justin Wylie advances to 1st (walk)",3,1,,,,,Chris Hardin
23,4,L.J. Hatch,BOTTOM,"Called Strike, Pickoff attempt at 1st base (pitcher to first baseman), 4 L.J. Hatch putout (fly outto center field) for out number 1",0,1,,,1,,Chris Hardin
