Index,Number,Name,Inning,Description,Balls,Strikes,Hits,Out # TOP,Out # BOTTOM
1,9,Odubel Herrera,TOP,"Foul, Ball, Called Strike, Ball, Foul, Foul, 9 Odubel Herrera putout (L6) for out number 1",2,2,,1,
2,6,Peter Maris,TOP,"Called Strike, Foul, 6 Peter Maris putout (fly outto the third baseman) for out number 2",0,2,,1,
3,7,Chris Herrmann,TOP,"Ball, Ball, Ball, Called Strike, Foul, Foul, 7 Chris Herrmann putout (strike out swinging) for out number 3",3,2,,1,
4,0,Osvaldo Martinez,BOTTOM,"Ball, Ball, Ball, Called Strike, 0 Osvaldo Martinez advances to 1st (walk)",3,1,,,
5,21,Darnell Sweeney,BOTTOM,"Foul, 0 Osvaldo Martinez advances to 2nd (21), 21Darnell Sweeney putout (2-3 SH) for out number 1",0,1,,,1
6,3,Jordan Barth,BOTTOM,"Ball, 3 Jordan Barth putout (fly out to center field) for out number 2",1,0,,,1
7,11,Jabari Henry,BOTTOM,11 Jabari Henry putout (fly out to left field) forout number 3,0,0,,,1
8,17,Gavin Collins,TOP,"Ball, Ball, Ball, Called Strike, 17 Gavin Collinsadvances to 1st (walk)",3,1,,,
9,16,Brian OGrady,TOP,"Called Strike, 16 Brian OGrady putout (L4 Dp) forout number 1, 17 Gavin Collins putout (4-3 DP) forout number 2",0,1,,1,
10,14,Micker Adolfo,TOP,"Ball, 14 Micker Adolfo putout (4-3) for out number3",1,0,,1,
11,20,Mike Hart,BOTTOM,"Foul, Foul, 20 Mike Hart advances to 1st (single)",0,2,1,,
12,5,Trevor Achenbach,BOTTOM,"Ball, 5 Trevor Achenbach putout (fly out to centerfield) for out number 1",1,0,,,1
13,15,Welington Dotel,BOTTOM,"Called Strike, Foul, 15 Welington Dotel advances to 1st (single), 20 Mike Hart advances to 2nd (15)",0,2,1,,
14,35,Shamoy Christopher,BOTTOM,"Ball, Ball, Called Strike, Called Strike, 35 Shamoy Christopher advances to 1st (single), 15 Welington Dotel advances to 2nd (35), 20 Mike Hart advances to 3rd (35)",2,2,1,,
15,16,Hunter Clanin,BOTTOM,"Ball, Ball, 16 Hunter Clanin putout (L4) for out number 2",2,0,,,1
16,0,Osvaldo Martinez,BOTTOM,"Ball, Ball, Ball, 0 Osvaldo Martinez advances to 1st (walk), 35 Shamoy Christopher advances to 2nd (0), 15 Welington Dotel advances to 3rd (0), 20 Mike Hart Scores Earned (0)",3,0,,,
17,21,Darnell Sweeney,BOTTOM,"Ball, Ball, Called Strike, Swinging Strike, Foul,21 Darnell Sweeney putout (strike out) for out number 3",2,2,,,1
18,47,Jacob Robson,TOP,"Ball, 47 Jacob Robson Scores Earned (home run)",1,0,1,,
19,1,Justin Wylie,TOP,"Called Strike, Called Strike, Ball, Foul, Foul, 1Justin Wylie putout (6-3) for out number 1",1,2,,1,
20,4,L.J. Hatch,TOP,"Called Strike, Foul, FoulPitching Substitution    13 Christian Johnson subs for Akeem Bostick Pitcher.",0,2,,,
21,4,L.J. Hatch,TOP,"Foul, Ball, Ball, 4 L.J. Hatch putout (strike out)for out number 2",2,1,,1,
22,9,Odubel Herrera,TOP,"Swinging Strike, Foul, Ball, Foul, Ball, Ball, Foul, Foul, 9 Odubel Herrera advances to 1st (walk)",3,2,,,
23,6,Peter Maris,TOP,"Called Strike, 6 Peter Maris putout (fly out to the first baseman) for out number 3",0,1,,1,
24,3,Jordan Barth,BOTTOM,"Ball, Foul, Ball, Ball, 3 Jordan Barth putout (3)for out number 1",3,1,,,1
25,11,Jabari Henry,BOTTOM,"Ball, Ball, Called Strike, Called Strike, 11 Jabari Henry putout (strike out swinging) for out number 2",2,2,,,1
26,20,Mike Hart,BOTTOM,"Foul, Ball, Foul, Ball, Foul, 20 Mike Hart putout(fly out to center field) for out number 3",2,2,,,1
27,7,Chris Herrmann,TOP,"Ball, Foul, Swinging Strike, 7 Chris Herrmann putout (fly out to left field) for out number 1",1,2,,1,
28,17,Gavin Collins,TOP,"Called Strike, Ball, Foul, Ball, 17 Gavin Collinsputout (fly out to right field) for out number 2",2,2,,1,
29,16,Brian OGrady,TOP,"Ball, Ball, Ball, 16 Brian OGrady advances to 1st(walk)",3,0,,,
30,14,Micker Adolfo,TOP,"Ball, Ball, 14 Micker Adolfo putout (fly out to left field) for out number 3",2,0,,1,
31,5,Trevor Achenbach,BOTTOM,"Ball, Foul, Called Strike, Foul, Ball, 5 Trevor Achenbach putout (strike out swinging) for out number 1",2,2,,,1
32,15,Welington Dotel,BOTTOM,"Ball, Called Strike, 15 Welington Dotel putout (L4) for out number 2",1,1,,,1
33,35,Shamoy Christopher,BOTTOM,"Ball, Ball, Foul, Called Strike, 35 Shamoy Christopher putout (strike out swinging) for out number 3",2,2,,,1
34,47,Jacob Robson,TOP,"Ball, Ball, Called Strike, Called Strike, 47 JacobRobson putout (strike out) for out number 1",2,2,,1,
35,1,Justin Wylie,TOP,"Foul, Ball, Ball, Swinging Strike, 1 Justin Wylieputout (4-3) for out number 2",2,2,,1,
36,4,L.J. Hatch,TOP,"Ball, Swinging Strike, 4 L.J. Hatch putout (5-3) for out number 3",1,1,,1,
37,16,Hunter Clanin,BOTTOM,"Ball, 16 Hunter Clanin putout (4) for out number 1",1,0,,,1
38,0,Osvaldo Martinez,BOTTOM,"Called Strike, Ball, 0 Osvaldo Martinez advances to 1st (single)",1,1,1,,
39,21,Darnell Sweeney,BOTTOM,"Called Strike, Foul, Foul, Ball, 21 Darnell Sweeney putout (strike out swinging) for out number 2",1,2,,,1
40,3,Jordan Barth,BOTTOM,"Called Strike, 3 Jordan Barth advances to 1st (single), 0 Osvaldo Martinez advances to 2nd (3)",0,1,1,,
41,11,Jabari Henry,BOTTOM,"Swinging Strike, Foul, Foul, 11 Jabari Henry putout (fly out to right field) for out number 3",0,2,,,1
42,9,Odubel Herrera,TOP,"Foul, 9 Odubel Herrera putout (4-3) for out number1",0,1,,1,
43,6,Peter Maris,TOP,"Called Strike, Foul, Foul, Ball, 6 Peter Maris putout (fly out to left field) for out number 2",1,2,,1,
44,7,Chris Herrmann,TOP,"Called Strike, Ball, Ball, 7 Chris Herrmann putout(4-3) for out number 3",2,1,,1,
45,20,Mike Hart,BOTTOM,"Foul, 20 Mike Hart advances to 1st (single)",0,1,1,,
46,5,Trevor Achenbach,BOTTOM,"Called Strike, Foul, 5 Trevor Achenbach advances to 1st (hit by pitch), 20 Mike Hart advances to 2nd(5)",0,2,,,
47,15,Welington Dotel,BOTTOM,"Ball, Foul, Foul, Foul, 15 Welington Dotel putout(fly out to the first baseman) for out number 1",1,2,,,1
48,35,Shamoy Christopher,BOTTOM,"Ball, Ball, Foul, Swinging Strike, Foul, Ball, Foul, 35 Shamoy Christopher putout (strike out swinging) for out number 2",3,2,,,1
49,16,Hunter Clanin,BOTTOM,"Called Strike, 5 Trevor Achenbach advances to 2nd(5), 20 Mike Hart advances to 3rd (wild pitch), Ball, Swinging Strike, Ball, Foul, 16 Hunter Claninputout (3-1) for out number 3",2,2,,,1
50,17,Gavin Collins,TOP,"Ball, Called Strike, Foul, Foul, Ball, Ball, 17 Gavin Collins putout (fly out to right field) for out number 1",3,2,,1,
51,16,Brian OGrady,TOP,"Ball, Swinging Strike, Swinging Strike, Foul, Ball, Ball, Foul, Foul, Foul, 16 Brian OGrady putout (strike out) for out number 2",3,2,,1,
52,14,Micker Adolfo,TOP,"Swinging Strike, Called Strike, 14 Micker Adolfo advances to 1st (single)",0,2,1,,
53,47,Jacob Robson,TOP,"Called Strike, Swinging Strike, 47 Jacob Robson putout (strike out swinging) for out number 3",0,2,,1,
54,0,Osvaldo Martinez,BOTTOM,"Ball, Ball, Called Strike, Ball, Called Strike, Foul, 0 Osvaldo Martinez putout (strike out swinging) for out number 1",3,2,,,1
55,21,Darnell Sweeney,BOTTOM,"Called Strike, 21 Darnell Sweeney putout (fly outto center field) for out number 2",0,1,,,1
56,3,Jordan Barth,BOTTOM,"Called Strike, 3 Jordan Barth putout (fly out to left field) for out number 3",0,1,,,1
57,1,Justin Wylie,TOP,"Foul, Ball, Called Strike, Foul, 1 Justin Wylie putout (fly out to center field) for out number 1",1,2,,1,
58,4,L.J. Hatch,TOP,4 L.J. Hatch advances to 1st (single),0,0,1,,
59,9,Odubel Herrera,TOP,"Ball, Called Strike, Foul, 9 Odubel Herrera advances to 2nd (double), 4 L.J. Hatch Scores Earned (9)",1,2,1,,
60,6,Peter Maris,TOP,"Swinging Strike, Foul, 6 Peter Maris putout (strike out swinging) for out number 2",0,2,,1,
61,7,Chris Herrmann,TOP,"Foul, Ball, Foul, 7 Chris Herrmann putout (fly outto left field) for out number 3",1,2,,1,
62,11,Jabari Henry,BOTTOM,"Called Strike, Ball, 11 Jabari Henry Scores Earned(home run)",1,1,1,,
63,20,Mike Hart,BOTTOM,"Ball, Ball, Called Strike, 20 Mike Hart putout (4-3) for out number 1",2,1,,,1
64,5,Trevor Achenbach,BOTTOM,"Ball, Foul, 5 Trevor Achenbach putout (fly out tocenter field) for out number 2",1,1,,,1
65,15,Welington Dotel,BOTTOM,"Ball, Called Strike, Swinging Strike, Foul, Ball,15 Welington Dotel putout (strike out swinging) for out number 3",2,2,,,1
66,17,Gavin Collins,TOP,"Called Strike, Ball, 17 Gavin Collins putout (6-3)for out number 1",1,1,,1,
67,16,Brian OGrady,TOP,"Called Strike, Ball, Foul, Ball, Ball, Foul, 16 Brian OGrady putout (dropped 3rd strike: KS 2-3) forout number 2",3,2,,1,
68,14,Micker Adolfo,TOP,"Ball, Swinging Strike, 14 Micker Adolfo advances to 1st (single)",1,1,1,,
69,47,Jacob Robson,TOP,"Foul, Swinging Strike, Ball, 47 Jacob Robson advances to 1st (single), 14 Micker Adolfo advances to2nd (47)",1,2,1,,
70,1,Justin Wylie,TOP,"Called Strike, Ball, Swinging Strike, Ball, 1 Justin Wylie putout (4-3) for out number 3",2,2,,1,
71,35,Shamoy Christopher,BOTTOM,"Ball, Foul, Ball, Swinging Strike, Foul, Ball, 35Shamoy Christopher advances to 1st (walk)Offensive Substitution   2 Carson Clowers runs for Shamoy Christopher at 1st base.",3,2,,,
